Total Nodes, User Nodes,m,Average routers per node, Routers, Online tx, Offline tx, Fraud tx attempted sent, fradulent tx sent
1002, 1000, 8, 1.0, 1, 5244, 1813, 26, 21
1003, 1000, 8, 1.0, 2, 4640, 2384, 25, 19
1004, 1000, 8, 1.0, 3, 4847, 2721, 44, 40
1006, 1000, 8, 1.0, 5, 4705, 2652, 35, 26
1011, 1000, 8, 1.0, 10, 6214, 1880, 65, 52
1021, 1000, 8, 1.0, 20, 6145, 1780, 62, 55
1051, 1000, 8, 1.0, 50, 5954, 1904, 60, 53
1101, 1000, 8, 1.0, 100, 6151, 1912, 64, 50
1251, 1000, 8, 1.0, 250, 4229, 3100, 35, 26
1501, 1000, 8, 1.0, 500, 4377, 2969, 35, 24
2001, 1000, 8, 1.0, 1000, 5361, 2049, 39, 31
1003, 1000, 8, 1.5, 2, 5482, 1713, 28, 25
1004, 1000, 8, 1.5, 3, 6450, 1559, 63, 61
1006, 1000, 8, 1.5, 5, 4120, 3113, 26, 22
1011, 1000, 8, 1.5, 10, 3271, 4467, 51, 49
1021, 1000, 8, 1.5, 20, 6872, 1367, 68, 64
1051, 1000, 8, 1.5, 50, 6481, 1593, 64, 57
1101, 1000, 8, 1.5, 100, 6380, 1620, 63, 58
1251, 1000, 8, 1.5, 250, 6208, 1635, 57, 52
1501, 1000, 8, 1.5, 500, 6668, 1437, 65, 54
2001, 1000, 8, 1.5, 1000, 5127, 3593, 80, 77
1004, 1000, 8, 3.0, 3, 5768, 2426, 65, 63
1006, 1000, 8, 3.0, 5, 3887, 3453, 35, 25
1011, 1000, 8, 3.0, 10, 5510, 2265, 52, 48
1021, 1000, 8, 3.0, 20, 4777, 2517, 32, 30
1051, 1000, 8, 3.0, 50, 6656, 1292, 62, 59
1101, 1000, 8, 3.0, 100, 6787, 1131, 61, 53
1251, 1000, 8, 3.0, 250, 7324, 991, 67, 67
1501, 1000, 8, 3.0, 500, 7463, 1546, 90, 90
2001, 1000, 8, 3.0, 1000, 4698, 2337, 25, 21
1006, 1000, 8, 5.0, 5, 4392, 2935, 33, 23
1011, 1000, 8, 5.0, 10, 6347, 1234, 45, 36
1021, 1000, 8, 5.0, 20, 3675, 3097, 21, 16
1051, 1000, 8, 5.0, 50, 7825, 1730, 122, 122
1101, 1000, 8, 5.0, 100, 7987, 859, 85, 85
1251, 1000, 8, 5.0, 250, 5352, 2036, 37, 29
1501, 1000, 8, 5.0, 500, 7143, 948, 65, 55
2001, 1000, 8, 5.0, 1000, 6476, 1244, 51, 46
